id,anio,autor_principal,relacion,doi,titulo_oficial,autores,n_autores,revista,issn,editorial,tipo_publicacion,volumen,numero,paginas,fecha_publicacion,citas_crossref,citas_openalex,n_referencias,acceso_abierto,licencia,paises_openalex,instituciones_openalex,conceptos_openalex,financiacion,openalex_id,fuente_metadatos
068,2026,Wang,B,10.4018/IJWLTT.409032,Construction and Empirical Study of Music Education Model Based Upon Big Data and Relevance Theory,"Faping Wang (Xinyang Agriculture and Forestry University, China)",1,International Journal of Web-Based Learning and Teaching Technologies,"1548-1093,1548-1107",IGI Global Scientific Publishing,journal-article,21,1,1-19,2026-5-4,0,0,30,True,http://creativecommons.org/licenses/by/3.0/deed.en_US,CN,Xinyang Agriculture and Forestry University,Big data(0.76); Computer science(0.67); Construct (python library)(0.58); Context (archaeology)(0.57); Personalization(0.53); Empirical research(0.51),,W7160039401,crossref+openalex
069,2026,Yao,B,10.4018/JCIT.410613,Construction and Practice of the Music Curriculum System in Artificial Intelligence Scenes for Normal Majors in Higher Vocational Colleges,"Hang Yao (Teachers College, Xinxiang Vocational and Technical College, China)",1,Journal of Cases on Information Technology,"1548-7717,1548-7725",IGI Global Scientific Publishing,journal-article,28,1,1-15,2026-5-20,0,0,27,True,http://creativecommons.org/licenses/by/3.0/deed.en_US,CN,Jiaxing Vocational Technical College,Vocational education(0.87); Curriculum(0.84); Music and artificial intelligence(0.60); Mathematics education(0.49); Engineering(0.42); Music education(0.41),,W7161770519,crossref+openalex
070,2025,Luo,B,10.70917/ijcisim-2025-0234,Construction of a personalized learning path for vocal music teaching through cloud platform in college music courses,Lizhang Luo,1,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,17,,16,2025-12-19,0,0,0,True,https://creativecommons.org/licenses/by/4.0/,CN,Sichuan University of Science and Engineering,Ant colony optimization algorithms(0.78); Computer science(0.72); Personalized learning(0.70); Cloud computing(0.67); Path (computing)(0.63); Multimedia(0.56),,W7128537531,crossref+openalex
071,2022,UmanJuarez,C,10.18687/LEIRD2025.1.1.331,Student Creativity at Risk: A Scoping Review of the Negative Effects of Generative AI in University Education,Steve Jason Umán Juarez | Carmen Rosa Hurtado Laura De Mera | Giovanna Irayda Alcántara Cuba De Byrne | Luis Alberto Byrne Jaramillo | Kenji Alberto Chung Sanchez,5,"Proceedings of the 5th LACCEI International Multiconference on Entrepreneurship, Innovation and Regional Development (LEIRD 2025): ""Entrepreneurship with Purpose: Social and Technological Innovation in the Age of AI""",,Latin American and Caribbean Consortium of Engineering Institutions,proceedings-article,,,,2025,0,0,0,True,,,,Creativity(0.53); Psychology(0.47); Mathematics education(0.46); University education(0.45); Generative grammar(0.45); Pedagogy(0.41),,W4417244887,crossref+openalex
072,2026,Usero,C,10.3390/app16147271,Convolutional Neural Networks and Computer Vision,"Luis Usero (Cognitive Science Research Group, Universidad de Alcalá, 28805 Alcalá de Henares, Madrid, Spain) | Juan P. Llerena (Cognitive Science Research Group, Universidad de Alcalá, 28805 Alcalá de Henares, Madrid, Spain; Applied Artificial Intelligence Group, Computer Science and Engineering Department, Universidad Carlos III de Madrid (ROR Code 03ths8210), 28270 Colmenarejo, Madrid, Spain) | Miguel A. Patricio (Applied Artificial Intelligence Group, Computer Science and Engineering Department, Universidad Carlos III de Madrid (ROR Code 03ths8210), 28270 Colmenarejo, Madrid, Spain)",3,Applied Sciences,2076-3417,MDPI AG,journal-article,16,14,7271,2026-7-21,0,0,6,True,https://creativecommons.org/licenses/by/4.0/,ES,Universidad de Alcalá; Universidad Carlos III de Madrid,Computer science(0.74); Artificial intelligence(0.74); Convolutional neural network(0.69); Automation(0.57); Computer vision(0.52); Process (computing)(0.49),,W7169877770,crossref+openalex
073,2025,AlmeidaMonge,C,,,,,,,,,,,,,,,,,,,,,,,sin_doi
074,2025,Zhou,D,10.1080/2331186X.2025.2590832,Decoding leadership in Chinese higher education: a systematic review of insights and innovations (2016–2025),"Shulin Zhou (Faculty of Education, Universiti Kebangsaan Malaysia) | Aida Hanim Binti Hamid (Faculty of Education, Universiti Kebangsaan Malaysia) | Bity Salwana Binti Alias (Faculty of Education, Universiti Kebangsaan Malaysia)",3,Cogent Education,2331-186X,Informa UK Limited,journal-article,12,1,,2025-11-27,0,0,37,True,http://creativecommons.org/licenses/by/4.0/,MY,National University of Malaysia,Constructive(0.62); Leadership style(0.55); Leadership studies(0.46); Shared leadership(0.45); Psychology(0.44); Bridging (networking)(0.43),,W4416758532,crossref+openalex
075,2026,Li,A,10.1007/s40745-026-00689-1,Deep Reinforcement Learning for Personalised Music Learning Pathways,Ni Li | Zixiang Hong,2,Annals of Data Science,"2198-5804,2198-5812",Springer Science and Business Media LLC,journal-article,13,4,1013-1032,2026-3-27,0,0,46,False,https://www.springernature.com/gp/researchers/text-and-data-mining,CN,Fuzhou University,Reinforcement learning(0.75); Computer science(0.63); Adaptation (eye)(0.57); Process (computing)(0.57); Task (project management)(0.50); Markov decision process(0.47),Fujian Provincial Finance Department,W7141032265,crossref+openalex
077,2026,Li,A,10.1007/s44163-026-01115-4,Deep learning-based personalized learning path planning and optimization model for music education,Jing Li,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-3-31,0,0,34,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Hebei Normal University,Computer science(0.63); Personalized learning(0.51); Artificial intelligence(0.44); Multimedia(0.42); Path (computing)(0.39); Human–computer interaction(0.39),,W7143666520,crossref+openalex
079,2026,Li,B,10.1007/s43926-026-00332-8,Deep learning-driven automatic music score recognition and digital transcription algorithm,Huina Li | Xinyan Song,2,Discover Internet of Things,2730-7239,Springer Science and Business Media LLC,journal-article,6,1,,2026-4-29,0,0,33,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Jiaozuo University; Zhengzhou University,Computer science(0.64); Artificial intelligence(0.57); Transcription (linguistics)(0.48); Speech recognition(0.40); Pattern recognition (psychology)(0.38); Algorithm(0.35),,W7159872170,crossref+openalex
081,2024,Leon-Garrido,B,10.17811/rifie.20620,Diseño y validación de un instrumento de evaluación para apps móviles musicales a través del juicio de expertos,Antonio León-Garrido | Julio Manuel Barroso-Osuna | Mª Carmen Llorente-Cejudo,3,Aula Abierta,"2341-2313,0210-2773",Universidad de Oviedo,journal-article,53,2,169-179,2024-6-21,6,6,0,True,https://creativecommons.org/licenses/by-nc-nd/4.0,ES,Universidad de Sevilla,Humanities(0.58); Art(0.56),,W4399897353,crossref+openalex
082,2025,Solorzano,A,10.5565/rev/grafica.374,Estrategias de diseño en la creación de personajes para videojuegos educativos infantiles: caso MIDI-Musical,Nayeth Solorzano Alcivar | Da Hee Park Kim | Andrea Rubio Zurita | Elizabeth Elizalde Ríos,4,grafica,"2014-9298,2339-7500",Universitat Autonoma de Barcelona,journal-article,13,25,187-199,2025-1-14,0,0,26,True,https://creativecommons.org/licenses/by/4.0,EC,Escuela Superior Politecnica del Litoral,Humanities(0.81); Art(0.55); MIDI(0.41); Psychology(0.33); Computer science(0.11); Operating system(0.00),,W4404462137,crossref+openalex
083,2026,Arkhrust,B,10.1007/s44217-026-02013-8,Digital technology adoption and perceived barriers in music composition education among preservice music teachers in Ghanaian Colleges of Education,Kow Arkhrust | Francis Afenyo Dzakey | Adom Faith Mawunya,3,Discover Education,2731-5525,Springer Science and Business Media LLC,journal-article,5,1,,2026-8-20,0,0,28,True,https://creativecommons.org/licenses/by-nc-nd/4.0,GH,"Presbyterian University, Ghana; University of Cape Coast",Music education(0.68); Composition (language)(0.68); Pedagogy(0.60); Curriculum(0.57); Thematic analysis(0.55); Qualitative research(0.47),,W7203830660,crossref+openalex
084,2026,Badger,C,10.46328/ijte.5111,&lt;b&gt;The Impact of GenAI Chatbots on Student Learning in Higher Education: A Literature Review  &lt;/b&gt;,Merete Badger (Copenhagen Business School) | Nuria López (Copenhagen Business School) | Camilla Falk Rønne Nissen (Copenhagen Business School),3,International Journal of Technology in Education,2689-2758,ISTES Organization,journal-article,9,1,43-69,2026-1-1,5,5,0,True,https://creativecommons.org/licenses/by-nc-sa/4.0,DK,Copenhagen Business School,Psychology(0.45); Chatbot(0.42); Empirical research(0.41); Key (lock)(0.41); Generative grammar(0.41); Empirical evidence(0.40),,W7118066178,crossref+openalex
085,2025,Nguyen,C,10.12973/eu-jer.14.1.73,Applying Augmented Reality Technology in STEM Education: A Bibliometrics Analysis in Scopus Database,Nguyen Truong Giang | Dinh Ngo Van | Ngu Pham Nguyen Hong | Chau Do Bao | Thao Nguyen Phuong | Thao Trinh Thi Phuong,6,European Journal of Educational Research,"2165-8714,2165-8714",Eurasian Society of Educational Research,journal-article,14,1,73-87,2024-11-9,5,5,0,True,,,,Scopus(0.91); Bibliometrics(0.73); Higher education(0.66); Database(0.36); Computer science(0.35); Information retrieval(0.35),,W4404200224,crossref+openalex
086,2026,Lyu,C,10.31893/multirev.2026080,Educational review of preschool teacher music curriculum at Southwest University,Peng Lyu | Peerapong Sensai | Khomkrich Karin,3,Multidisciplinary Reviews,"2595-3982,2595-3982",Malque Publishing,journal-article,9,2,2026080,2025-8-8,0,0,30,True,,TH,Mahasarakham University,Curriculum(0.76); Formative assessment(0.63); Preparedness(0.62); Pedagogy(0.60); Context (archaeology)(0.55); Music education(0.47),,W4414769200,crossref+openalex
087,2025,DelPinoQuispe,C,10.51798/sijis.v6i3.1058,Effects of music on the treatment of attention deficit and hyperactivity disorder (ADHD) in children and adolescents: a systematic review of current evidence,Yashira Carolina Del Pino Quispe | Rosa Elvira Marmanillo Manga | Jenny Vaneza Graneros Tairo | Lizbeth Isabel Azucena Niño de Guzmán Sánchez | Rocío de Lis Peña Luna,5,Sapienza: International Journal of Interdisciplinary Studies,2675-9780,Sapienza: International Journal of Interdisciplinary Studies,journal-article,6,3,e25044,2025-7-14,0,0,0,True,https://creativecommons.org/licenses/by-nc-nd/4.0,PE,National University of Saint Anthony the Abbot in Cuzco; Universidad Andina del Cusco; Universidad César Vallejo,Attention deficit hyperactivity disorder(0.85); Psychology(0.61); Clinical psychology(0.44); Psychiatry(0.39); Developmental psychology(0.34),,W4412415761,crossref+openalex
088,2026,Zhang,B,10.1017/S0261444824000363,Embodied music training can help improve speech imitation and pronunciation skills,Yuan Zhang (Zhejiang University) | Florence Baills (University of Lleida) | Pilar Prieto (Universitat Pompeu Fabra),3,Language Teaching,"0261-4448,1475-3049",Cambridge University Press (CUP),journal-article,59,2,235-257,2024-12-18,7,7,107,True,http://creativecommons.org/licenses/by/4.0/,"CN,ES",Zhejiang University; Universitat de Lleida; Universitat Pompeu Fabra,Embodied cognition(0.90); Imitation(0.80); Pronunciation(0.64); Psychology(0.58); Training (meteorology)(0.47); Cognitive psychology(0.37),"Ministerio de Ciencia, Innovación y Universidades; Ministerio de Ciencia e Innovación; Generalitat de Catalunya",W4405554520,crossref+openalex
089,2026,Christensen,D,10.1007/s41809-026-00206-z,Enculturation modulates aesthetic judgments of dance,Julia F. Christensen | Shahrzad Khorsandi | Fredrik Ullén | Emily S. Cross | Klaus Frieler | Meghedi Vartanian | Melanie Wald-Fuhrmann,7,Journal of Cultural Cognitive Science,"2520-100X,2520-1018",Springer Science and Business Media LLC,journal-article,10,2,267-285,2026-6-11,0,0,61,True,https://creativecommons.org/licenses/by/4.0,"CH,DE",Max Planck Institute for Empirical Aesthetics; ETH Zurich; Max Planck Institute for Human Cognitive and Brain Sciences; Leipzig University,Enculturation(0.97); Dance(0.81); Psychology(0.57); Aesthetics(0.49); Categorical variable(0.44); Empirical research(0.39),Max-Planck-Gesellschaft; Friedrich Naumann Stiftung; Deutsche Forschungsgemeinschaft; Max Planck Institute for Empirical Aesthetics,W7164391577,crossref+openalex
090,2024,Botella,C,10.35699/2317-6377.2024.48283,Paisajes sonoros en extinción,Ana María Botella Nicolás | Pablo Ramos Ramos,2,Per Musi,"2317-6377,1517-7599",Universidade Federal de Minas Gerais - Pro-Reitoria de Pesquisa,journal-article,25,,1-15,2024-3-25,1,1,44,True,http://creativecommons.org/licenses/by/4.0,ES,Universitat de València; Universitat Ramon Llull,Humanities(0.80); Cartography(0.54); Art(0.44); Geography(0.43),,W4400284760,crossref+openalex
091,2026,Torres,D,10.7717/peerj.21581,"Energetics, kinematics, and physiologic aspects of tango walking in the leader role","Carol Torres (Departamento de Educación Física y Deporte, Instituto Superior de Educación Física, Universidad de la República, Montevideo, Montevideo, Uruguay) | Alberto E. Minetti (Laboratory of Locomotion Physiomechanics, Department of Pathophysiology and Transplantation, University of Milan, Milan, Lombardy, Italy) | Carlo M. Biancardi (LIBiAM, Department of Biological Sciences, CENUR Litoral Norte–Universidad de la República, Paysandú, Paysandú Department, Uruguay) | Gabriel Fábrica (Unidad Académica de Biofísica, Facultad de Medicina, Universidad de la República, Montevideo,  Montevideo, Uruguay; Department of Sports Sciences and Physical Conditioning, Education Faculty, Universidad Católica de la Santísima Concepción, Concepción, Bio Bio, Chile)",4,PeerJ,2167-8359,PeerJ,journal-article,14,,e21581,2026-8-6,0,0,51,True,https://creativecommons.org/licenses/by/4.0/,"CL,ES,IT,UY",Universidad de la República de Uruguay; Ministerio de Educación y Cultura; Departamento de Educación; University of Milan; Wikimedia Uruguay; Universidad Católica de la Santísima Concepción; Universidad de Montevideo,Kinematics(0.76); Power walking(0.72); Gait(0.71); Metabolic cost(0.65); Physical medicine and rehabilitation(0.63); Statistical parametric mapping(0.61),,W7196965371,crossref+openalex
092,2026,DelBarrio,B,10.5216/mh.v26.85467,Epigénesis de la educación musical en la era de la Inteligencia Artificial,Luis Del Barrio Aranda | Rubén Carrillo Méndez | Patricia A. González Moreno,3,Música Hodie,"1676-3939,2317-6776",Universidade Federal de Goias,journal-article,26,,,2026-6-7,1,1,0,True,,"ES,MX",Universidad de Zaragoza; Autonomous University of Chihuahua,Humanities(0.74); Art(0.35); Philosophy(0.33); Musical(0.29); Sociology(0.23); Psychology(0.20),,W7164854962,crossref+openalex
095,2025,Arostegui,D,10.22176/act24.4.90,Ethical Implications of Editing an Academic Journal: Lessons from Revista Internacional de Educación Musical,José Luis Aróstegui,1,Action Criticism and Theory for Music Education,"1545-4517,1545-4517",MayDay Group,journal-article,24,4,90,2025-7-1,0,0,0,True,,,,Publishing(0.71); Sociology(0.58); Musical(0.52); Engineering ethics(0.49); Diversity (politics)(0.44); Ethical issues(0.38),,W7143393191,crossref+openalex
096,2026,Zhang,B,10.4018/IJICTE.407363,Exploring the Role of Digital Traditional Music Platforms in Cross-Cultural Music Pedagogy,"Qian Zhang (School of Art and Design, Huaqing College, Xi'an University of Architecture and Technology, China)",1,International Journal of Information and Communication Technology Education,"1550-1876,1550-1337",IGI Global Scientific Publishing,journal-article,22,1,1-20,2026-4-14,0,0,29,True,http://creativecommons.org/licenses/by/3.0/deed.en_US,CN,Xi'an University of Architecture and Technology,Personalization(0.66); Empathy(0.55); Cultural intelligence(0.48); Psychology(0.45); Empirical research(0.42); Cognition(0.41),,W7154231697,crossref+openalex
097,2026,Fragkou,C,,,,,,,,,,,,,,,,,,,,,,,sin_doi
098,2026,Mao,B,10.3390/info17080783,From Retrieval to Faithful Memory Use: Context-Grounded Evidence Chains for Music Education Agents,"Jing Mao (School of Humanities and Arts, Hunan Institute of Traffic Engineering, Hengyang 421009, China) | Yuwen Chen (School of Humanities and Arts, Hunan Institute of Traffic Engineering, Hengyang 421009, China) | Wei Wan (School of Humanities and Arts, Hunan Institute of Traffic Engineering, Hengyang 421009, China) | Kun Liu (School of Humanities and Arts, Hunan Institute of Traffic Engineering, Hengyang 421009, China) | Rui-Feng Wang (Department of Crop and Soil Sciences, College of Agriculture and Environmental Sciences, University of Georgia, Tifton, GA 31793, USA)",5,Information,2078-2489,MDPI AG,journal-article,17,8,783,2026-8-15,0,0,41,True,https://creativecommons.org/licenses/by/4.0/,"CN,US",Hunan Institute of Technology; University of Georgia,Computer science(0.75); Counterfactual thinking(0.55); Artificial intelligence(0.51); Memory model(0.46); Reuse(0.42); Set (abstract data type)(0.38),Hunan Provincial Education Science Planning Project; 2025 General Teaching Reform Project of Ordinary Undergraduate Universities in Hunan Province,W7203615966,crossref+openalex
100,2021,Uskov,C,10.1007/978-981-16-2834-4,Smart Education and e-Learning 2021,,0,"Smart Innovation, Systems and Technologies","2190-3018,2190-3026",Springer Singapore,book,,,,2021,5,15,0,False,https://www.springer.com/tdm,"AU,RO,US",Bradley University; Aurel Vlaicu University of Arad; University of Technology Sydney,E learning(0.60); Computer science(0.41); Mathematics education(0.41); Psychology(0.27); Educational technology(0.11),,W4212802661,crossref+openalex
101,2026,Tang,B,10.6977/IJoSI.202608_10(4).0001,,,,,,,,,,,,,,,,,,,,,,crossref+openalex
102,2025,AlvarezAriza,C,10.1109/ACCESS.2025.3541424,Generative AI in Engineering and Computing Education: A Scoping Review of Empirical Studies and Educational Practices,"Jonathan Álvarez Ariza (Department of Technology in Electronics, Engineering Faculty, Corporaci&#x00F3;n Universitaria Minuto de Dios-UNIMINUTO, Bogot&#x00E1;, Colombia) | Milena Benitez Restrepo (Engineering Faculty, Universidad de Los Andes, Bogot&#x00E1;, Colombia) | Carola Hernández Hernández (Engineering Faculty, Universidad de Los Andes, Bogot&#x00E1;, Colombia)",3,IEEE Access,2169-3536,Institute of Electrical and Electronics Engineers (IEEE),journal-article,13,,30789-30810,2025,51,47,87,True,https://creativecommons.org/licenses/by/4.0/legalcode,CO,Corporación Universitaria Minuto de Dios; Universidad de Los Andes,Generative grammar(0.68); Computer science(0.67); Engineering education(0.47); Data science(0.47); Knowledge management(0.43); Empirical research(0.43),Engineering Information Foundation; Vice Presidency of Research and Creation’s Publication Fund at Universidad de Los Andes,W4407449455,crossref+openalex
103,2025,Masoud,D,10.69526/bir.v3i4.356,Global Trends and Challenges in Teacher Training: A Bibliometric Analysis (2019–2024),Mohieddin Masoud | Abdulnasir Alsayd | Majdy Kasheem,3,Bulletin of Islamic Research,3031-4526,Yayasan Pendidikan Tafsir Hadis,journal-article,3,4,705-732,2025-6-8,1,1,0,True,https://creativecommons.org/licenses/by/4.0,LY,Al Zawiya University,Thematic analysis(0.59); Training (meteorology)(0.58); Adaptability(0.57); Teacher education(0.49); Scopus(0.44); Professional development(0.43),,W4411297975,crossref+openalex
104,2026,Kostrzewa,C,10.3390/app16052195,How Far Can a U-Net Go? An Empirical Analysis of Music Source Separation Performance,"Daniel Kostrzewa (Department of Applied Informatics, Silesian University of Technology, 44-100 Gliwice, Poland) | Mikolaj Kondziolka (Department of Applied Informatics, Silesian University of Technology, 44-100 Gliwice, Poland) | Robert Brzeski (Department of Applied Informatics, Silesian University of Technology, 44-100 Gliwice, Poland) | Jeremiah Abimbola (Department of Applied Informatics, Silesian University of Technology, 44-100 Gliwice, Poland) | Pawel Benecki (Department of Applied Informatics, Silesian University of Technology, 44-100 Gliwice, Poland)",5,Applied Sciences,2076-3417,MDPI AG,journal-article,16,5,2195,2026-2-25,1,0,42,True,https://creativecommons.org/licenses/by/4.0/,PL,Silesian University of Technology,Computer science(0.75); Source separation(0.74); Spectrogram(0.71); Artificial intelligence(0.50); Speech recognition(0.49); Normalization (sociology)(0.48),"statutory research funds of Department of Applied Informatics, Silesian University of Technology, Gliwice, Poland; statutory research funds of Department of Applied Informatics, Silesian University of Technology, Gliwice, Poland",W7131354888,crossref+openalex
105,2026,Califano,B,10.3390/app16115224,Human Digital Biomechanical Twin-Driven Ergonomic Optimization of Bass-Guitar Support Systems: Predictive Design and Experimental Validation,"Rosaria Califano (Department of Industrial Engineering, University of Salerno, 84084 Salerno, Italy) | Luigi Riva (Department of Industrial Engineering, University of Salerno, 84084 Salerno, Italy) | Armando Russo (Department of Industrial Engineering, University of Salerno, 84084 Salerno, Italy) | Gessica Campanile (Department of Industrial Engineering, University of Salerno, 84084 Salerno, Italy) | Giovanni Meglio (LASIT S.p.A., Torre Annunziata, 80058 Naples, Italy) | Michele Guacci (Department of Industrial Engineering, University of Salerno, 84084 Salerno, Italy) | Nicola Laiola (Officine di Matteo SRL, Somma Vesuviana, 80049 Naples, Italy) | Alessandro Naddeo (Department of Industrial Engineering, University of Salerno, 84084 Salerno, Italy)",8,Applied Sciences,2076-3417,MDPI AG,journal-article,16,11,5224,2026-5-22,1,1,25,True,https://creativecommons.org/licenses/by/4.0/,IT,University of Salerno; Ospedale SS. Annunziata; University of Pavia,Motion capture(0.58); Physical medicine and rehabilitation(0.48); Simulation(0.44); Human factors and ergonomics(0.39); Biomechanics(0.36); Physical therapy(0.36),,W7162124950,crossref+openalex
106,2026,Zhang,B,10.1038/s41598-026-46822-1,ICT training with wearable devices to enhance emotional communication and musicality in vocal education,Zhang Ling,1,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-4-1,0,0,64,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Huanggang Normal University,Musicality(0.85); Singing(0.79); Wearable computer(0.56); Wearable technology(0.56); Computer science(0.42); Training (meteorology)(0.40),,W7147603509,crossref+openalex
107,2025,AhmadRadzuan,C,10.15282/ijleal.v15i2.11943,Integrating Artificial Intelligence into Language Teaching Approaches: A Systematic Review of Flipped Classrooms,Farhana Atiqah Ahmad Radzuan | Marina Mohd Arif,2,International Journal of Language Education and Applied Linguistics,"2289-9294,2289-7208",Universiti Malaysia Pahang Al-Sultan Abdullah Press (UMPSA Press),journal-article,15,2,44-58,2025-9-29,0,0,0,True,https://creativecommons.org/licenses/by-nc/4.0/,MY,Universiti Teknologi MARA,Flipped learning(0.70); Flipped classroom(0.57); Blended learning(0.53); Artificial intelligence(0.51); Computer science(0.48); Applications of artificial intelligence(0.43),,W7090935820,crossref+openalex
108,2026,Wang,D,10.3390/ani16101475,Influence of Specific Acoustic Parameters on Responses in Growing Pigs: Towards a Precision Auditory Enrichment Strategy,"Zhijiang Wang (College of Information Science and Engineering, Shanxi Agricultural University, Taigu 030801, China) | Mengyao Yi (College of Information Science and Engineering, Shanxi Agricultural University, Taigu 030801, China) | Haoyuan Liu (College of Information Science and Engineering, Shanxi Agricultural University, Taigu 030801, China) | Zhouhao Zhang (College of Information Science and Engineering, Shanxi Agricultural University, Taigu 030801, China) | Haikang Li (College of Agricultural Engineering, Shanxi Agricultural University, Taigu 030801, China) | Guangying Hu (College of Animal Science, Shanxi Agricultural University, Taigu 030801, China) | Zhenyu Liu (College of Agricultural Engineering, Shanxi Agricultural University, Taigu 030801, China; Dryland Farm Machinery Key Technology and Equipment Key Laboratory of Shanxi Province, Taigu 030801, China)",7,Animals,2076-2615,MDPI AG,journal-article,16,10,1475,2026-5-11,0,0,45,True,https://creativecommons.org/licenses/by/4.0/,CN,Shanxi Agricultural University,Stimulus (psychology)(0.72); Speech recognition(0.50); Computer science(0.46); Audiology(0.46); Musical instrument(0.34); Psychology(0.31),China Scholarship Council; ; Shanxi Key Research and Development Program,W7160858879,crossref+openalex
109,2026,Wang,B,10.11591/ijere.v15i4.38319,Information and communication technology in higher music education: systematic review,Yangyang Wang | Aidah Abdul Karim | Intan Farahana Kamsin,3,International Journal of Evaluation and Research in Education (IJERE),"2620-5440,2252-8822",Institute of Advanced Engineering and Science,journal-article,15,4,3151,2026-8-1,0,0,0,True,http://creativecommons.org/licenses/by-nc/4.0,MY,National University of Malaysia,Information and Communications Technology(0.80); Thematic analysis(0.49); Knowledge management(0.48); Computer science(0.46); Resource (disambiguation)(0.40); Multimedia(0.37),,W7197008940,crossref+openalex
110,2026,Liu,B,10.1007/s44163-026-00975-0,Innovation of cross-cultural music teaching methods based on artificial intelligence,Feng Liu,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-3-23,0,0,25,True,https://creativecommons.org/licenses/by-nc-nd/4.0,KR,Dankook University,Computer science(0.53); Artificial intelligence(0.49); Teaching method(0.40); Music and artificial intelligence(0.33); Engineering(0.33); Mathematics education(0.33),,W7140024882,crossref+openalex
112,2026,Koca,C,10.3390/jintelligence14070146,"Instrumental Learning Approaches in Pre-Professional Music Students: Associations Among Motivation, Strategy and Practice","Şehriban Koca (Department of Musicology, Faculty of Music and Performing Arts, Mersin University, Mersin 33343, Türkiye) | Çağlanur Sakarya (Institute of Educational Sciences, Mersin University, Mersin 33343, Türkiye) | Atakan Kutlu (Institute of Educational Sciences, Mersin University, Mersin 33343, Türkiye) | Alican Gülle (Institute of Educational Sciences, Mersin University, Mersin 33343, Türkiye) | Kıvılcım Pekpak (Institute of Educational Sciences, Mersin University, Mersin 33343, Türkiye) | Aslıhan Ergin (Institute of Educational Sciences, Mersin University, Mersin 33343, Türkiye)",6,Journal of Intelligence,2079-3200,MDPI AG,journal-article,14,7,146,2026-7-11,0,0,45,True,https://creativecommons.org/licenses/by/4.0/,TR,Mersin Üniversitesi,Psychology(0.82); Confirmatory factor analysis(0.65); Structural equation modeling(0.63); Scale (ratio)(0.52); Variance (accounting)(0.47); Regression analysis(0.46),,W7168149248,crossref+openalex
113,2026,Fang,C,10.1007/s42979-026-04788-x,"Integrating Generative AI in Higher Art Education: A Systematic Review of Tools, Pedagogies, and Practices",Zhishu Fang,1,SN Computer Science,2661-8907,Springer Science and Business Media LLC,journal-article,7,2,,2026-2-16,4,4,50,False,https://www.springernature.com/gp/researchers/text-and-data-mining,CN,Wuhan Conservatory of Music,Software deployment(0.55); Framing (construction)(0.53); Generative grammar(0.52); Psychology(0.43); Engineering ethics(0.41); Systematic review(0.41),,W7128998331,crossref+openalex
114,2025,Peng,B,10.1504/IJICT.2025.10072178,Integrating computational intelligence in music teaching: a decision-making approach for personalised education,Chunfa Peng,1,International Journal of Information and Communication Technology,"1466-6642,1741-8070",Inderscience Publishers,journal-article,26,27,,2025,1,1,0,True,,,,Computer science(0.90); Artificial intelligence(0.39); Human–computer interaction(0.37); Data science(0.35),,W4411765215,crossref+openalex
115,2025,Rabbaniah,D,10.23917/mier.v3i1.7319,Bibliometric Analysis of The Development Map and Direction of Contemporary Learning Research in The Scopus Database 1976-2024,Qiyadah Robbaniyah | Aboubacar Barry | Jobeda Khanom,3,Multicultural Islamic Education Review,3025-8839,Universitas Muhammadiyah Surakarta,journal-article,3,1,36-52,2025-4-17,0,0,0,True,https://creativecommons.org/licenses/by/4.0,"BD,IL,SD",Advanced Inhalation Therapies (Israel); International University of Africa; University of Chittagong,Scopus(0.90); Database(0.49); Information retrieval(0.44); Computer science(0.35); Political science(0.19); MEDLINE(0.11),,W4409821043,crossref+openalex
116,2026,Gardiner,B,10.55776/AR590,,,0,,,Austrian Science Fund (FWF),grant,,,,,,,0,,,,,,,,crossref+openalex
117,2026,Zhao,B,10.70917/ijcisim-2026-0381,Modeling Multicultural Interaction in Silk Road Ethnomusicology Education Based on Deep Learning Framework,Xue Zhao | Dan Shen,2,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,18,,16,2026-1-24,0,0,0,True,https://creativecommons.org/licenses/by/4.0/,CN,Harbin University; Heilongjiang University,Ethnic group(0.71); Ethnomusicology(0.63); Multiculturalism(0.61); Sociology(0.49); Folk music(0.44); Music Geography(0.41),,W7131360552,crossref+openalex
118,2026,LopezCalatayud,A,10.5216/mh.v.26.82835,,,,,,,,,,,,,,,,,,,,,,crossref+openalex
121,2026,Iglesias,B,10.17227/rce.num100-21167,Efectos motivacionales de la realidad virtual en la educación musical: un estudio cuasiexperimental,Pedro Iglesias | Pablo Chávez,2,Revista Colombiana de Educación,"2323-0134,0120-3916",Universidad Pedagogica Nacional,journal-article,,100,e21167,2026-5-29,0,0,66,True,http://creativecommons.org/licenses/by-nc/4.0,,,Psychology(0.64); Humanities(0.60); Context (archaeology)(0.45); Social psychology(0.31); Cognition(0.30); Sociology(0.26),,W7162788014,crossref+openalex
