id,anio,autor_principal,pais,titulo,tipo,relacion,categoria_tecnologica,categoria_dominio,tecnologia,dominio,doi
139,2026,He,China,Optimization of music teaching effects based on AI audio processing technology,TEC,B,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),"CNN + RNN (audio, feedback en tiempo real)",educación musical (feedback),10.1007/s44163-026-01235-x
141,2026,Paredes-Ventura,Peru,O IMPACTO DA INTELIGÊNCIA ARTIFICIAL NA EDUCAÇÃO: UMA REVISÃO SISTEMÁTICA DA LITERATURA IMPACT OF ARTIFICIAL INTELLIGENCE ON EDUCATION: A SYSTEMATIC REVIEW OF LITERATURE IMPACTO DE LA INTELIGENCIA ARTIFICIAL EN LA EDUCACIÓN: UNA REVISIÓN SISTEMÁTICA DE LA LITERATURA,RS,C,Otro / sin tecnologia,Educacion general / superior (no musical),inteligencia artificial,educación general,10.29352/mill0230.41727
142,2026,Feng,China,Piano accompaniment exploring the role of information dynamics communication practices and cultural influence,EMP,D,Otro / sin tecnologia,Piano / teclado,—,acompañamiento de piano (colaborativo),10.1057/s41599-026-06537-0
144,2026,Chuluunsaikhan,Mongolia,Piano keyboard detection algorithm using deep learning,TEC,A,Vision por computador / pose / gesto,Piano / teclado,deep learning / vision por computador (ICM_PixInfo),deteccion de teclado de piano,10.1007/s11042-026-21667-y
145,2025,AhmadFauzi,Indonesia,AI-Integrated Pedagogies in Primary Education: A Decade of Global Trends and Strategic Adaptation for Indonesia’s Curriculum Transformation,BIB,C,Otro / sin tecnologia,Otro,inteligencia artificial,educacion primaria,10.14421/ijber.v2i2.11619
146,2026,Zhang,Corea del Sur,Research on Artificial IntelligenceRelated Studies in Chinese Music Education A Systematic Analysis Based on the Literature From 2017 to 2025,BIB,B,Metodo bibliometrico,Educacion musical (general / superior / secundaria),metodo bibliometrico,educacion musical china + IA,10.30775/KMES.55.1.331
147,2025,Li,China,Research on the Innovative Inheritance Application of Artificial Intelligence Technology in Traditional Music Education and Strategies to Enhance the Aesthetic Experience,TEC,B,IA generativa / LLM,Musica tradicional / patrimonio / etnomusicologia,Leak-GAN (generacion musical),musica tradicional (estetica),10.70917/ijcisim-2025-0301
148,2025,Liu,China,Research on the VR Music Education Model and Its Practice in the Context of the Internet,CONC,B,Realidad virtual / aumentada / XR,Educacion musical (general / superior / secundaria),realidad virtual,educacion musical,10.4018/IJDET.384398
149,2026,Mao,China,Robust bionic distributed multimodal flexible sensor for extremecondition sensing and intelligent operation,TEC,C,Multimodal / afectivo,Otro,sensor flexible multimodal / machine learning,sensado (demo en ensenanza musical virtual),10.1038/s44172-026-00653-0
151,2026,Abdullah,Malasia,Digital Intercultural Learning for Competence Development: A Comprehensive Structured Review,RS,D,Otro / sin tecnologia,Musica tradicional / patrimonio / etnomusicologia,aprendizaje digital,competencia intercultural,10.17576/JKMJC-2026-4202-26
152,2026,Yang,China,Selfsupervised multimodal transformer for finegrained detection of controlled perturbation events in piano performance,TEC,A,Deep learning (CNN/RNN/Transformer),Piano / teclado,Transformer multimodal autosupervisado (audio+MIDI+proxy cinematico),piano (deteccion de errores),10.1038/s41598-026-45945-9
153,2025,Samma,Japon,Sightoversound effect depends on interaction between evaluators musical experience and auditoryvisual integration An examination using Japanese brass band competition recordings,EMP,C,Audio / MIR / procesamiento de senal,Otro,integracion audiovisual,evaluacion de interpretacion musical,10.1371/journal.pone.0321442
154,2025,Sinergie,Italia,Tertiarization & sustainability new challenges for management,PROC,D,Otro / sin tecnologia,Otro,—,gestion / era digital,
155,2025,Martins,Reino Unido,The Role of Hybrid Learning in Achieving the Sustainable Development Goals,RS,D,Otro / sin tecnologia,Otro,aprendizaje hibrido,ODS / educacion,10.1002/sd.3374
156,2026,Koca,Turquia,Sustainable Digital Transformation in Music Education An Analysis of Teacher Competencies in the Light of TPACK and International Frameworks,EMP,B,Apps moviles / plataformas / TIC,Educacion general / superior (no musical),marco TPACK,competencias digitales de docentes de musica,10.3390/su18073640
157,2026,Zhuang,China,Teaching activity design and psychological practice of music majors under a convolutional neural network and transformer module,TEC,B,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),CNN + Transformer (recomendacion personalizada),educacion musical (STEAM),10.1038/s41598-026-45673-0
159,2024,Bosman,Noruega,"Isak de Villiers Bosman, Oğuz ‘Oz’ Buruk, Kristine Jørgensen & Juho Hamari",SCOP,C,Realidad virtual / aumentada / XR,Otro,realidad virtual / audio,experiencia en realidad virtual,10.1080/0144929X.2022.2158371
160,2024,Pianda,Indonesia,The impact of internship experience on the employability of vocational students: a bibliometric and systematic review,BIB,D,Metodo bibliometrico,Otro,metodo bibliometrico,empleabilidad en formacion profesional,10.1080/23311975.2024.2386465
161,2024,Barroso-Osuna,España,The Impact of Mobile Apps and Workload on University Music Education An Experimental Study,EMP,B,Apps moviles / plataformas / TIC,Educacion musical (general / superior / secundaria),apps moviles / NASA-TLX,educacion musical universitaria,10.6018/red.602301
162,2026,Raimbergenov,Kazajistan,The Study of Musical art as a Factor in the Preservation and Development of Cultural Heritage,EMP,C,Otro / sin tecnologia,Musica tradicional / patrimonio / etnomusicologia,—,educacion musical y patrimonio cultural,10.5216/mh.v26.84759
164,2026,Tang,China,The application of deep reinforcement learning in music teaching interaction,TEC,A,Aprendizaje por refuerzo (RL/DRL),Otro,deep RL (PPO) + CNN,interaccion en ensenanza musical,10.1007/s10791-026-10022-2
166,2026,Li,China,The multidimensional performance intelligent evaluation and feedback system for music education,TEC,B,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),deep learning + plataforma WeChat,educacion musical (evaluacion de interpretacion),10.1007/s44163-026-01122-5
168,2026,Su,China,The optimization of vocal music teaching by integrating the STEAM concept with the intelligent recommendation system,TEC,B,Aprendizaje por refuerzo (RL/DRL),Canto / educacion vocal / coral,NCF + DQN + GAN (recomendacion y estrategia),canto (STEAM),10.1038/s41598-025-30288-8
170,2025,Varjosalo,Finlandia,"JERI VARJOSALO 1,2, PAAVO RÄTY 1, VILLE HEILALA 1, (Member, IEEE), RAIJA HÄMÄLÄINEN1, AND TOMMI KÄRKKÄINEN 2, (Senior Member",RS,C,Realidad virtual / aumentada / XR,Educacion general / superior (no musical),realidad virtual,educacion general,10.1109/ACCESS.2025.3598952
171,2026,Li,China,Transfer learningbased adaptive music teaching system for modulating students emotions,TEC,B,Multimodal / afectivo,Educacion musical (general / superior / secundaria),transfer learning / senales multimodales,educacion musical (regulacion emocional),10.1504/IJICT.2026.10075950
172,2025,AbdRazak,Malasia,Transfer of Training Trends and Future Research Direction: Insight from Bibliometric Analysis,BIB,D,Metodo bibliometrico,Otro,metodo bibliometrico,transferencia de la formacion,10.55057/ijbtm.2025.7.11.56
173,2026,Wang,Malasia,Utilization of music technology in secondary education in China An indepth study of Shandong Province,EMP,B,Apps moviles / plataformas / TIC,Educacion musical (general / superior / secundaria),tecnologia musical / modelo TAM,educacion musical secundaria,10.18488/61.v14i1.4688
175,2023,Filodiritto,Italia,"Virtual Exchange and Meaning-making (16th Int. Conf. Innovation in Language Learning, proceedings)",PROC,D,Otro / sin tecnologia,Educacion general / superior (no musical),—,aprendizaje de idiomas,10.26352/HY09_2384-9509
176,2026,IJLTER,Mauricio,"International Journal of Learning, Teaching and Educational Research (IJLTER) Vol. 25, No. 1 - numero completo",PROC,D,Otro / sin tecnologia,Otro,—,educacion (numero completo de revista),
177,2025,Ma,Corea del Sur,Whose Intelligence Whose Music Critical Reflections on AI in Music Education,CONC,B,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),inteligencia artificial (mirada critica),educacion musical (perspectiva decolonial),10.25159/1947-9417/20479
178,2025,AbdMajid,Malasia,"Mohamad Zuber Abd Majid1 , Muhammad Helmi Norman1 , Mohammad Hafiz Zaini1 , Hutkemri Zulnaidi2 , and Mohd Khalid Mohamad Nasir1",RS,D,Apps moviles / plataformas / TIC,Otro,tecnologia educativa,educacion (economia),10.1177/21582440251325077
179,2024,Vargas,Colombia,Reshaping education in the era of artificial intelligence: insights from Situated Learning related literature,RS,C,Otro / sin tecnologia,Otro,inteligencia artificial,aprendizaje situado,
180,2026,Liu,China,"A Systematic Review of Artificial Intelligence in Piano Education: Efficacy,Ethics, and the Transformation of the Teacher's Role (2020–2025)",RS,B,Otro / sin tecnologia,Piano / teclado,inteligencia artificial,piano,10.21203/rs.3.rs-8998934/v1
181,2024,Deroncele-Acosta,Peru,"Angel Deroncele-Acosta1 , Omar Bellido-Valdiviezo1, Mar´ıa de los A´ ngeles Sa´nchez-Trujillo1, Madeleine Lourdes Palacios-Nu´ n˜ ez1,",SCOP,C,Otro / sin tecnologia,Otro,inteligencia artificial,educacion cientifica universitaria,10.1177/21582440241272016
182,2026,Dong,Tailandia,Mapping Research on Music Education Faculty Structure in Higher Education (1980–2025): A Bibliometric Analysis,BIB,C,Metodo bibliometrico,Educacion musical (general / superior / secundaria),VOSviewer / Biblioshiny / PRISMA,estructura del profesorado de educacion musical,10.1177/21582440261425921
183,2024,Hamash,Irlanda,Breaking through Barriers: A Systematic Review of Extended Reality in Education for the Visually Impaired,RS,C,Realidad virtual / aumentada / XR,Otro,realidad extendida,educacion (discapacidad visual),10.3390/educsci14040365
184,2025,ValenzuelaRios,Peru,From intuition to knowledge: the scientific consolidation of,BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),Biblioshiny,consultoria de gestion,10.1108/EISFL-12-2025-0073
185,2025,Omer,China,"Evaluating the Use of VOSviewer in Bibliometric and Science-Mapping Studies: Trends, Current State and Future Directions",RS,C,Metodo bibliometrico,Otro,VOSviewer (revision de metodo),metodo bibliometrico,10.30967/IJCRSET/Altyeb-Ali-Abaker-Omer/208
186,2023,Mazlan,Malasia,Exploring the integration of bite-sized learning: A scoping review of research in education and related disciplines,SCOP,B,Apps moviles / plataformas / TIC,Educacion musical (general / superior / secundaria),microaprendizaje,educacion musical,10.30935/cedtech/13622
187,2023,Palupi,Indonesia,Research on spatial reasoning in mathematics education: Trend and opportunity,BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),metodo bibliometrico / PRISMA,razonamiento espacial en matematicas,10.31629/jg.v8i2.6619
188,2026,Rodas-Coloma,España,"Roberto Gimenez, Universidade Cidade de São Paulo, Brazil Guido Santiago Silva Alvarado, Technical University of Manabi, Ecuador",RS,D,Apps moviles / plataformas / TIC,Otro,TikTok / redes sociales,educacion (uso de TikTok),10.3389/feduc.2026.1716735
189,2026,Li,Malasia,"Graham Frederick Welch, University College London, United Kingdom Fernando José Sadio-Ramos, Instituto Politécnico de Coimbra, Portugal",SCOP,B,Otro / sin tecnologia,Canto / educacion vocal / coral,—,pedagogia vocal (competencias del s. XXI),10.3389/feduc.2026.1744952
190,2026,AlAmri,Malasia,"Noble Lo, Lancaster University, United Kingdom",RS,C,Gamificacion / juegos serios,Educacion general / superior (no musical),gamificacion,formacion docente,10.3389/feduc.2026.1819092
191,2026,Lu,China,"Birgit Arabin, Clara Angela Foundation, Germany Fiona Lynn, Queen's University Belfast, United Kingdom",RS,C,Otro / sin tecnologia,Musica y bienestar / cognicion / salud,—,musica y ansiedad,10.3389/fpsyg.2026.1822041
192,2026,Fante,Italia,"Roisin Perry, University of West London, United Kingdom Astrid Bowen, University of York, United Kingdom",SCOP,C,Otro / sin tecnologia,Educacion general / superior (no musical),neurociencia educativa,educacion general,10.3389/fpsyg.2026.1853717
193,2026,Wang,China,"Chamil Arkhasa Nikko Mazlan, Sultan Idris University of Education, Malaysia Armando Sanchez-Macías, Autonomous University of San Luis Potosí, Mexico",RS,B,Otro / sin tecnologia,Educacion general / superior (no musical),inteligencia artificial,toma de decisiones docentes (caso: profesores de musica),10.3389/fpsyg.2026.1866711
194,2026,Zhu,China,"Anca Simion, Universitatea Babes-Bolyai, Romania Aleksi Ojala, University of Helsinki, Finland",RS,B,Apps moviles / plataformas / TIC,Educacion musical (general / superior / secundaria),aula invertida,educacion musical (aula invertida),10.3389/fpsyg.2026.1892285
195,2026,Yin,China,"Konstantinos Koronios, University of Peloponnese, Greece",BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),metodo bibliometrico,competicion de breakdance,10.3389/fspor.2026.1901612
196,2025,Achmadi,Indonesia,Mapping Global Trends and Emerging Themes in Learning Evaluation for Quality Education (SDG 4): A Bibliometric Analysis,BIB,D,Metodo bibliometrico,Otro,VOSviewer,evaluacion del aprendizaje (ODS 4),10.18280/ijsdp.200907
197,2025,Multani,Estados Unidos,"Maryam Khalid Multani, University of Florida Maryam Khalid Multani is currently a first-year PhD student in Engineering Education at the University of Florida. Prior to this, she spent eight years as an instructional faculty member at Bahria University in Islamabad, Pakistan,",RS,C,IA generativa / LLM,Educacion general / superior (no musical),agentes conversacionales / LMS,educacion superior (LMS),
198,2017,Matallaoui,Alemania,Proceedings of the 50th Hawaii International Conference on System Sciences,RS,D,Gamificacion / juegos serios,Otro,gamificacion / exergames,actividad fisica,
199,2025,Liu,China,How Multi-modal GenAI Helps Older Adults with Health Management? A Systematic Scoping Review,SCOP,D,IA generativa / LLM,Musica y bienestar / cognicion / salud,IA generativa multimodal,gestion de salud en adultos mayores,10.2196/preprints.84695
200,2024,Guspian,Indonesia,Platform Metaverse dalam Pendidikan: Perspektif Manajerial,BIB,C,Metodo bibliometrico,Otro,analisis bibliometrico,metaverso en educacion,10.51574/jrip.v4i3.2059
201,2025,Suripah,Indonesia,"Suripah S. et al. (2025). Research Trends in Scopus Database on Technological Innovation in the Process of Mathematics Learning: A Bibliometric Analysis, International Journal of Cognitive Research in Science, Engineering and Education (IJCRSEE), 13(1), 97-116.",BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),metodo bibliometrico,innovacion tecnologica en matematicas,10.23947/2334-8496-2025-13-1-97-116
202,2025,Mazlan,Malasia,"Artificial Intelligence in Music Education: Trends, Challenges, and Future Directions",BIB,B,Metodo bibliometrico,Educacion musical (general / superior / secundaria),metodo bibliometrico + scoping,educacion musical + IA,
203,2024,Yi,China,The key artificial intelligence technologies in early childhood education: a review,RS,A,Deep learning (CNN/RNN/Transformer),Educacion musical infantil / preescolar,"IA (robots, deep learning) + bibliometria",educacion infantil temprana,10.1007/s10462-023-10637-7
207,2025,Ekin,Turquia,Artificial intelligence in education: A text mining‑based review of the past 56 years,BIB,C,Metodo bibliometrico,Otro,mineria de texto,IA en educacion,10.1007/s10639-024-13225-6
208,2024,Feng,Hong Kong,"Shihui Feng1,2 · Xin Xu3,4,6 · Shanghao Li5 · Ze Li3,4,8 · David Gibson7",RS,C,Realidad virtual / aumentada / XR,Educacion general / superior (no musical),metaverso,educacion general,10.1007/s11423-024-10398-2
209,2026,Samala,Indonesia,"A Comprehensive Bibliometric‑Systematic Literature Review (B + SLR) of Microlearning Research: Mapping Global Trends, Applications, and Challenges in Education and Training",BIB,C,Metodo bibliometrico,Otro,Biblioshiny / co-word / co-citacion,microaprendizaje,10.1007/s11528-026-01168-3
210,2026,Dorfer,Austria,Out-of-ﬁeld teaching—An opportunity for cross-curricular teaching in a complex world?—A scoping review,SCOP,D,Otro / sin tecnologia,Educacion general / superior (no musical),—,ensenanza fuera de especialidad,10.1007/s35834-026-00563-3
211,2025,Ramirez-Montoya,Mexico,Technologies and strategies in collaborative online international learning: systematic literature mapping,RS,D,Sistemas de recomendacion / rutas / ITS,Educacion general / superior (no musical),COIL / tecnologias colaborativas,internacionalizacion educativa,10.1186/s40561-025-00409-x
212,2025,Llerena,Ecuador,Evaluating the usability of open source software tools in e‑learning: a systematic mapping study and case study,RS,D,Apps moviles / plataformas / TIC,Educacion musical infantil / preescolar,software libre / usabilidad,e-learning (usabilidad),10.1007/s40692-025-00360-3
213,2025,Mazlan,Malasia,"Chamil Arkhasa Nikko Mazlan1,2✉, Mohd Hassan Abdullah1, Nor Shuradi Nor Hashim1 & Nurulakmal Abdul Wahid1",BIB,C,Realidad virtual / aumentada / XR,Musica tradicional / patrimonio / etnomusicologia,scoping + bibliometria / RA-RV,musica en turismo cultural,10.1057/s41599-025-04847-3
214,2026,Aldhaheri,Yemen,A bibliometric analysis of electroencephalography studies on second Language processing from 2010 to 2024,BIB,D,Metodo bibliometrico,Otro,metodo bibliometrico,EEG y procesamiento de segunda lengua,10.1007/s44217-026-01122-8
216,2025,Saefan,Indonesia,Programming Languages for AI Readiness and Creativity Enhancement in Education: A Systematic Literature Review,RS,D,Otro / sin tecnologia,Educacion general / superior (no musical),lenguajes de programacion / IA,educacion en programacion,10.21203/rs.3.rs-7428847/v1
217,2026,Zhang,China,From algorithms to clinical execution: A cross-validated knowledge atlas of AI-enabled precision care (2015–2025),BIB,D,Otro / sin tecnologia,Educacion general / superior (no musical),validacion cruzada WoS + Scopus,medicina de precision con IA,10.1177/20552076261436251
218,2026,Zhu,Malasia,Technology-Enhanced Strategies to Address Learning Needs in Undergraduate Music Theory: A Systematic Review,RS,B,Apps moviles / plataformas / TIC,Educacion musical (general / superior / secundaria),"tecnologia educativa (apps, aula invertida)",teoria musical (grado),10.1177/21582440261457887
219,2026,Xiao,China,Technology-enhanced studio design and creative musicianship: Exploring self-efficacy and motivational moderators,EMP,B,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),diseno de estudio tecnologico,musicalidad creativa (autoeficacia),10.1016/j.actpsy.2026.107215
220,2026,Ramoneda,España,"Pedro Ramoneda a,∗, Masahiro Suzuki b, Akira Maezawa b, Xavier Serra a",TEC,A,Otro / sin tecnologia,Piano / teclado,modelos de lenguaje musical / generacion simbolica,piano (generacion de ejercicios de lectura),10.1016/j.eswa.2026.132088
221,2026,Quan,Australia,Attentional effects on affect and prefrontal activation during high-intensity exercise with music,EMP,D,Wearables / sensores,Musica y bienestar / cognicion / salud,fNIRS / musica asincrona,ejercicio de alta intensidad con musica,10.1016/j.actpsy.2026.107024
222,2026,Prasanna,Corea del Sur,"Asokan Poorani Sathya Prasanna a, Monunith Anithkumar a, Arul Saravanan Raaju Sundhar a, Thanjan Shaji Bincy a, Kwi-I",TEC,A,Vision por computador / pose / gesto,Generacion / transcripcion / MIR de musica,nanogenerador hibrido / interfaz musical gestual,interfaz musical controlada por gesto,10.1016/j.cej.2026.178140
223,2026,Wu,China,Intelligent choreography movement sequence generation and optimization based on deep reinforcement learning,TEC,B,Aprendizaje por refuerzo (RL/DRL),Generacion / transcripcion / MIR de musica,deep RL (soft actor-critic) + Transformer,generacion de coreografia,10.1016/j.sasc.2026.200554
224,2026,Ren,China,"Generative AI in music learning: A mixed-method study of skill development, AI dependence, and the moderating role of AI literacy",EMP,B,IA generativa / LLM,Otro,IA generativa,aprendizaje musical (dependencia de IA),10.1016/j.actpsy.2026.107648
225,2026,Luo,Corea del Sur,Research on the acceptance of Chinese traditional music and student cultural identity differences under Chinese and Western music education models,EMP,C,Otro / sin tecnologia,Musica tradicional / patrimonio / etnomusicologia,—,modelos de educacion musical e identidad cultural,10.1016/j.actpsy.2026.106249
226,2026,Deng,China,AI-driven emotional intelligence in piano education: Deep learning models for expressive performance coaching,EMP,A,Deep learning (CNN/RNN/Transformer),Piano / teclado,BiLSTM + mecanismo de atencion,piano (expresividad),10.1016/j.actpsy.2026.106264
